route_id,trip_id,trip_headsign,service_id,shape_id
11,805,ANILLO VIAL (SECAP) - RT056,0,24A
11,804,ANILLO VIAL (SECAP) - RT020,0,24A
9,669,ANILLO EXTERNO (DURAGAS) - RT094,0,19A
9,668,ANILLO EXTERNO (DURAGAS) - RT032,0,19A
9,667,ANILLO EXTERNO (DURAGAS) - RT014,0,19A
9,666,ANILLO EXTERNO (DURAGAS) - RT094,0,19A
9,665,ANILLO EXTERNO (DURAGAS) - RT032,0,19A
9,664,ANILLO EXTERNO (DURAGAS) - RT014,0,19A
9,663,ANILLO EXTERNO (DURAGAS) - RT094,0,19A
9,662,ANILLO EXTERNO (DURAGAS) - RT032,0,19A
9,661,ANILLO EXTERNO (DURAGAS) - RT014,0,19A
9,660,ANILLO EXTERNO (DURAGAS) - RT094,0,19A
11,769,ANILLO VIAL (SECAP) - RT056,0,24A
11,692,ANILLO VIAL (SECAP) - RT098,0,24A
11,693,ANILLO VIAL (SECAP) - RT023,0,24A
11,690,ANILLO VIAL (SECAP) - RT005,0,24A
11,691,ANILLO VIAL (SECAP) - RT086,0,24A
11,696,ANILLO VIAL (SECAP) - RT020,0,24A
11,697,ANILLO VIAL (SECAP) - RT056,0,24A
11,694,ANILLO VIAL (SECAP) - RT040,0,24A
11,695,ANILLO VIAL (SECAP) - RT97,0,24A
11,698,ANILLO VIAL (SECAP) - RT085,0,24A
11,699,ANILLO VIAL (SECAP) - RT005,0,24A
6,542,BURNEO - BRISAS - RT044,0,5A
6,543,BURNEO - BRISAS - RT072,0,5A
6,540,BURNEO - BRISAS - RT001,0,5A
6,541,BURNEO - BRISAS - RT036,0,5A
6,546,BURNEO - BRISAS - RT010,0,5A
6,547,BURNEO - BRISAS - RT060,0,5A
6,544,BURNEO - BRISAS - RT052,0,5A
6,545,BURNEO - BRISAS - RT090,0,5A
0,8,GALLERA - EPACEM - RT041,0,1
6,548,BURNEO - BRISAS - RT027,0,5A
6,549,BURNEO - BRISAS - RT077,0,5A
0,68,GALLERA - EPACEM - RT041,0,1
8,598,SANTA MARIA DEL TOACHI - RT028,0,5C
1,120,PARAISO - U. CATOLICA - RT013,0,2
1,121,PARAISO - U. CATOLICA - RT030,0,2
1,122,PARAISO - U. CATOLICA - RT004,0,2
1,123,PARAISO - U. CATOLICA - RT093,0,2
1,124,PARAISO - U. CATOLICA - RT089,0,2
1,125,PARAISO - U. CATOLICA - RT047,0,2
1,126,PARAISO - U. CATOLICA - RT063,0,2
1,127,PARAISO - U. CATOLICA - RT013,0,2
1,128,PARAISO - U. CATOLICA - RT030,0,2
1,129,PARAISO - U. CATOLICA - RT004,0,2
11,765,ANILLO VIAL (SECAP) - RT023,0,24A
5,414,LAS PIEDRAS - RT043,0,4B
5,415,LAS PIEDRAS - RT026,0,4B
5,416,LAS PIEDRAS - RT059,0,4B
5,417,LAS PIEDRAS - RT080,0,4B
5,410,LAS PIEDRAS - RT067,0,4B
5,411,LAS PIEDRAS - RT009,0,4B
5,412,LAS PIEDRAS - RT051,0,4B
5,413,LAS PIEDRAS - RT035,0,4B
6,498,BURNEO - BRISAS - RT010,0,5A
5,418,LAS PIEDRAS - RT017,0,4B
5,419,LAS PIEDRAS - RT089,0,4B
11,776,ANILLO VIAL (SECAP) - RT97,0,24A
6,499,BURNEO - BRISAS - RT060,0,5A
